mission.Shedu_Xiomara_Control1.briefing	Квазиморфы фракции %VICTIM_NAME% уже атакуют станцию %STATION_NAME%. Тебе нужно <color=#FFFEC1>защитить реликварий</color>. Ликвидируй нападающих до того, как они уничтожат артефакт.						
mission.Shedu_Xiomara_Control1.objective0	<color=#FFFEC1>Задача:</color> Тебе нужно <color=#FFFEC1>защитить реликварий</color> — квазиморфный артефакт, похожий на статую или обелиск.						
mission.Shedu_Xiomara_Control1.after	Встреча с квазиморфами из фракции %BENEFICIARY_NAME% состоялась. Груз получен. <color=#FFFEC1>Жуткие</color> создания, но, кажется, я начинаю к ним привыкать.						
mission.Shedu_Xiomara_Infiltration1.desc	<color=#FFFEC1>Задача:</color> Уничтожить все группы квазиморфов, пришедшие за <color=#FFFEC1>игвалитом</color>.						
mission.Shedu_Xiomara_Infiltration1.details	<color=#FFFEC1>Подробно:</color> Фракция %BENEFICIARY_NAME% давно удерживает станцию %STATION_NAME%. Однако сейчас она подвергается нападению со стороны фракции %VICTIM_NAME%.<br><br>Мы распознали сигнатуру <color=#FFFEC1>игвалита</color>, исходящую от станции. Это квазиморфный артефакт, способный накапливать гаввах. Похоже, фракция %BENEFICIARY_NAME% использует это место для хранения энергии.<br><br>Мы можем устранить группы квазиморфов фракции %VICTIM_NAME%, пришедшие за <color=#FFFEC1>игвалитом</color>. Сделаем это, и награда от новых хозяев Солнечной Системы будет крайне высока.						
mission.Shedu_Xiomara_Infiltration1.briefing	Несколько групп квазиморфов фракции %VICTIM_NAME% уже проникло на станцию %STATION_NAME%. Тебе нужно найти их и уничтожить, пока они не завладели <color=#FFFEC1>игвалитом</color>. Фракция %BENEFICIARY_NAME% готова выдать действительно хорошую награду за этот камень.<br><br>Как мы вообще в это влезли, <color=#FFFEC1>Босс</color>?						
mission.Shedu_Xiomara_Infiltration1.objective0	<color=#FFFEC1>Задача:</color> Уничтожить все группы квазиморфов, пришедшие за <color=#FFFEC1>игвалитом</color>.						
mission.Shedu_Xiomara_Infiltration1.after	Встреча с квазиморфами из фракции %BENEFICIARY_NAME% состоялась. Это хорошая сделка: бесполезный для нас булыжник в обмен на то, что действительно работает.						
mission.Shedu_Pirates_RaiderCapture1.desc	<color=#FFFEC1>Задача:</color> Ликвидировать <color=#FFFEC1>50% защитников</color> станции %STATION_NAME%.						
mission.Shedu_Pirates_RaiderCapture1.details	<color=#FFFEC1>Подробно:</color> <color=#FFFEC1>Тысяча Шеду</color> наводит порядок в Солнечной Системе для пробуждения Гагтунгра. Эта армия все больше закрепляется в физической реальности. Сейчас она ищет любого, кто поможет захватить станцию %STATION_NAME% и превратить в очередной бастион будущей Золотой Империи.<br><br>Группировка %VICTIM_NAME% держится за этот металлический кусок материи, будто это величайшее из сокровищ. Сокрушим их, и <color=#FFFEC1>Гагтунгр</color> обратит на нас свой взор, когда проснется.						
mission.Shedu_Pirates_RaiderCapture1.briefing	Даже если персонал станции %STATION_NAME% ожидает нападения от <color=#FFFEC1>Тысячи Шеду</color>, то появление здесь обученного оперативника <color=#FFFEC1>ЧВК</color> будет для них неожиданностью. Действуй по ситуации, будь осторожен.						
mission.Shedu_Pirates_RaiderCapture1.objective0	<color=#FFFEC1>Задача:</color> Ликвидировать <color=#FFFEC1>50% защитников</color> станции %STATION_NAME%.						
mission.Shedu_Pirates_RaiderCapture1.after	<color=#FFFEC1>Тысяча Шеду</color> довольны нашей работой. Станция %STATION_NAME% сейчас напоминает Пандемоний. В грузовом отсеке «Магнума» появился дар от них. Нам стоит испытать этот артефакт в деле.						
mission.Shedu_Pirates_Elimination1.desc	<color=#FFFEC1>Задача:</color> Убить командующего станцией %STATION_NAME%.						
mission.Shedu_Pirates_Elimination1.details	<color=#FFFEC1>Подробно:</color> <color=#FFFEC1>Тысяча Шеду</color> включилась в борьбу за Солнечную Систему. Сейчас пронизывающий взор <color=#FFFEC1>Урпарпа</color> устремлен к станции %STATION_NAME%, которой владеет группировка %VICTIM_NAME%.<br><br>Оперативники <color=#FFFEC1>Тысячи Шеду</color> говорят, что там находится фактор, препятствующий захвату этого места. Наши аналитики изучили станцию и пришли к выводу, что речь о командующем обороной станции. <color=#FFFEC1>Тысяча Шеду</color> будет нам благодарна, если мы его ликвидируем.						
mission.Shedu_Pirates_Elimination1.briefing	Шаттл сядет, где сможет. Группировка %VICTIM_NAME% применяет контрмеры на станции %STATION_NAME%, так что приходится маневрировать. Персонал занимает посты согласно боевому расписанию. Устрой резню, но доберись до их <color=#FFFEC1>командира</color>. Наконец-то война.						
mission.Shedu_Pirates_Elimination1.objective0	<color=#FFFEC1>Задача:</color> Убить командующего станцией %STATION_NAME%.						
mission.Shedu_Pirates_Elimination1.after	<color=#FFFEC1>Тысяча Шеду</color> довольны нашей работой. Группировка %VICTIM_NAME% в смятении, на станцию %STATION_NAME% переброшены дополнительные силы. Может быть, настало время ударить по ним где-то в другом месте?<br><br>Армия <color=#FFFEC1>Гагтунгра</color> передала нам достойную награду, артефакт уже доставлен на «Магнум».						
mission.Shedu_Pirates_Sabotage1.desc	<color=#FFFEC1>Задача:</color> Уничтожить специальное оборудование группировки %VICTIM_NAME%.						
mission.Shedu_Pirates_Sabotage1.details	<color=#FFFEC1>Подробно:</color> <color=#FFFEC1>Тысяча Шеду</color> хочет подготовить Солнечную Систему к пробуждению <color=#FFFEC1>Гагтунгра</color>. Можно примкнуть к будущей Золотой Империи или проиграть.<br><br>Армия <color=#FFFEC1>Гагтунгра</color> проявляет интерес к станции %STATION_NAME%. Группировка %VICTIM_NAME% разместила в этом месте то, что квазиморфы назвали «алтарь знаний». <color=#FFFEC1>Тысяча Шеду</color> желает, чтобы это устройство было уничтожено прежде, чем они отправят войнов на захват объекта.<br><br>Наши аналитики изучили станцию %STATION_NAME%. Видимо, речь идет о каком-то <color=#FFFEC1>компьютере</color>, который группировка %VICTIM_NAME% использует с неизвестной целью.<br><br>Будем надеяться, герольды Ура упомянут <color=#FFFEC1>уничтожение устройства</color> среди наших заслуг, которые представят <color=#FFFEC1>Гагтунгру</color> после пробуждения.						
mission.Shedu_Pirates_Sabotage1.briefing	Мы постараемся выбросить тебя поближе к <color=#FFFEC1>компьютеру</color>. Это будет непросто: сенсоры показывают, что защитники станции уже приготовились к нападению. Хорошая новость в том, что местоположение компьютера на станции %STATION_NAME% тоже прекрасно видно, и я отметила его на твоей карте. Они выбрали роль врагов народа? Покажи им последствия такого решения.						
mission.Shedu_Pirates_Sabotage1.objective0	<color=#FFFEC1>Задача:</color> Уничтожить специальное оборудование группировки %VICTIM_NAME%.						
mission.Shedu_Pirates_Sabotage1.after	Без сервера у группировки %VICTIM_NAME% нет шанса удержать станцию %STATION_NAME%. <color=#FFFEC1>Тысяча Шеду</color> прекрасно осведомлена о чувствительной инфраструктуре людей из-за большого числа бывших солдат <color=#FFFEC1>РеалВейр</color> в своем составе. Она передала на «Магнум» кое-что особенное из своего арсенала.						
mission.Shedu_Pirates_Ritual1.desc	<color=#FFFEC1>Задача:</color> Добраться до места проведения ритуала и защитить его.						
mission.Shedu_Pirates_Ritual1.details	<color=#FFFEC1>Подробно:</color> Воины <color=#FFFEC1>Тысячи Шеду</color> знают, как квазиморфным слугам Гагтунгра удерживать связь с физической реальностью. Но это требует постоянных усилий. Необходим приток гавваха, реликварии и регулярные ритуалы, извлекающие энергию из брамфатур планет.<br><br><color=#FFFEC1>Урпарп</color> ощущает, что на станции %STATION_NAME% влияние брамфатуры достигло своего пика. Настало время для ритуала. Однако на пути стоит группировка %VICTIM_NAME%, контролирующая станцию.<br><br><color=#FFFEC1>Тысяча Шеду<color=#FFFEC1> призывает все доступные силы, чтобы обеспечить герцогу возможность провести священнодействие. Нам предстоит <color=#FFFEC1>держать оборону</color> до завершения ритуала.						
mission.Shedu_Pirates_Ritual1.briefing	Ты знаешь, что на кону. <color=#FFFEC1>Ритуал</color> должен быть завершен любой ценой. Станция %STATION_NAME% под контролем группировки %VICTIM_NAME%, и они не отступят без боя. <color=#FFFEC1>Твоя задача</color> — пробиться к месту проведения ритуала и удерживать позицию до конца.						
mission.Shedu_Pirates_Ritual1.objective0	<color=#FFFEC1>Задача:</color> Добраться до места проведения ритуала и защитить его.						
mission.Shedu_Pirates_Ritual1.after	Хорошая работа, <color=#FFFEC1>Тысяча Шеду</color> крайне довольны. Ритуал завершился успешно. Армия <color=#FFFEC1>Гагтунгра</color> может действовать в этой части Солнечной Системы и дальше. Они передали награду на «Магнум».						
mission.Shedu_Pirates_Defense1.desc	<color=#FFFEC1>Задача:</color> Отбить нападение на станцию %STATION_NAME%.						
mission.Shedu_Pirates_Defense1.details	<color=#FFFEC1>Подробно:</color> Станция %STATION_NAME% — свидетельство того, что облик Солнечной Системы изменился навсегда. Но не все люди готовы принять, что пробуждение квазиморфов прямо влияет на их судьбу. Владелец станции, фракция %BENEFICIARY_NAME%, желает, чтобы мы <color=#FFFEC1>занялись ее обороной</color> от сил группировки %VICTIM_NAME%. Изгоям нужно яркое событие, пример корпорациям, что они тоже в состоянии влиять на расклад сил в Системе. Покажем, как они заблуждаются.						
mission.Shedu_Pirates_Defense1.briefing	Бойцы группировки %VICTIM_NAME% уже проникли за периметр станции %STATION_NAME%. Высадим тебя в зоне главного удара. <color=#FFFEC1>Держи оборону</color>, пока враги не отступят.						
mission.Shedu_Pirates_Defense1.objective0	<color=#FFFEC1>Задача:</color> Отбить нападение на станцию %STATION_NAME%.						
mission.Shedu_Pirates_Defense1.after	Станция %STATION_NAME% — символ того, что порядок в Солнечной Системе изменился навсегда. Группировка %VICTIM_NAME% не смогла показать, что человечество способно бросить вызов новым хозяевам. Мы получили ценный артефакт от фракции %BENEFICIARY_NAME% в благодарность за работу.						
mission.Shedu_Pirates_Escort1.desc	<color=#FFFEC1>Задача:</color> Довести герцога фракции %BENEFICIARY_NAME% до безопасного места.						
mission.Shedu_Pirates_Escort1.details	<color=#FFFEC1>Подробно:</color> Группировка %VICTIM_NAME% развернула активную деятельность вокруг станции %STATION_NAME%. Однако объект находится в руках фракции %BENEFICIARY_NAME%. Так просто законные хозяева Солнечной Системы не сдадутся. И группировка %VICTIM_NAME% понимает это. Похоже, она готовит акцию по устранению <color=#FFFEC1>герцога</color> фракции %BENEFICIARY_NAME%.<br><br>Квазиморфы призывают своих верных слуг исполнить священный долг. Если мы хотим укрепить отношения с фракцией %BENEFICIARY_NAME%, мы должны взять на себя роль личной стражи герцога. Нужно <color=#FFFEC1>сопроводить его в безопасное место</color> на станции и защитить от атак сброда группировки %VICTIM_NAME%.						
mission.Shedu_Pirates_Escort1.briefing	Фракция %BENEFICIARY_NAME% призвала нас для конкретной <color=#FFFEC1>цели</color>: сопроводить герцога в безопасное место на станции %STATION_NAME%. Ты должен легко справиться с боевиками группировки %VICTIM_NAME%.						
mission.Shedu_Pirates_Escort1.objective0	<color=#FFFEC1>Задача:</color> Довести герцога фракции %BENEFICIARY_NAME% до безопасного места.						
mission.Shedu_Pirates_Escort1.after	Посланники фракции %BENEFICIARY_NAME% передали нам похвалу от <color=#FFFEC1>герцога</color> и призвали к расширению союзных отношений. Если мы поработаем на будущего победителя сейчас, то займем достойное место в будущей новой иерархии Солнечной Системы.						
mission.Shedu_Pirates_Infiltration1.desc	<color=#FFFEC1>Задача:</color> Уничтожить все инфильтрационные команды.						
mission.Shedu_Pirates_Infiltration1.details	<color=#FFFEC1>Подробно:</color> Группировка %VICTIM_NAME% проводит операции, связанные со станцией %STATION_NAME%. Объект давно находится в руках квазиморфов фракции %BENEFICIARY_NAME%.<br><br>Мы распознали сигнатуру <color=#FFFEC1>игвалита</color>, исходящую от станции. Это квазиморфный артефакт, способный накапливать гаввах. Похоже, фракция %BENEFICIARY_NAME% использует это место для хранения энергии.<br><br>Мы можем оказаться здесь раньше нападающих и устранить инфильтрационные команды группировки %VICTIM_NAME%. Если сделаем это, будущие хозяева Солнечной Системы будет крайне щедры.						
mission.Shedu_Pirates_Infiltration1.briefing	Несколько инфильтрационных команд группировки %VICTIM_NAME% уже проникло на станцию %STATION_NAME%. Тебе нужно найти их и уничтожить, пока они не завладели <color=#FFFEC1>игвалитом</color>. Квазиморфы готовы выдать действительно хорошую награду за этот камень.<br><br>Надеюсь, мы выбрали правильную сторону, <color=#FFFEC1>Босс</color>.						
mission.Shedu_Pirates_Infiltration1.objective0	<color=#FFFEC1>Задача:</color> Уничтожить все инфильтрационные команды.						
mission.Shedu_Pirates_Infiltration1.after	Встреча с квазиморфами из фракции %BENEFICIARY_NAME% состоялась. Это хорошая сделка: бесполезный для нас булыжник в обмен на то, что действительно работает.						
mission.Shedu_Pirates_Security1.desc	<color=#FFFEC1>Задача:</color> Защитить станцию %STATION_NAME% от разграбления.						
mission.Shedu_Pirates_Security1.details	<color=#FFFEC1>Босс</color>, группировка %VICTIM_NAME% атакует станцию %STATION_NAME%, не считаясь с потерями. Похоже, <color=#FFFEC1>изгоям</color> что-то очень нужно на этой станции. Фракция %BENEFICIARY_NAME% призывает своих верных слуг на помощь. Квазиморфы хотели бы сохранить станцию за собой.<br><br>Если мы откликнемся на призыв о помощи, нужно будет обеспечить нападающим достойную встречу: <color=#FFFEC1>сдерживать их атаки</color>, пока не подойдет подкрепление от фракции %BENEFICIARY_NAME%.						
mission.Shedu_Pirates_Security1.briefing	Группировка %VICTIM_NAME% бросает в бой отряд за отрядом. Тебе нужно <color=#FFFEC1>продержаться</color> до прибытия сил фракции %BENEFICIARY_NAME%.						
mission.Shedu_Pirates_Security1.objective0	<color=#FFFEC1>Задача:</color> Защитить станцию %STATION_NAME% от разграбления.						
mission.Shedu_Pirates_Security1.after	Фракция %BENEFICIARY_NAME% сохраняет полный контроль над станцией %STATION_NAME%. Наши квазиморфные союзники (или хозяева?) поблагодарили нас и отправили на «Магнум» ценный груз.						
mission.mercurySurfaceLevels.stage1.name	Этаж 1						
mission.mercurySurfaceLevels.stage2.name	Этаж 2						
mission.mercurySurfaceLevels.stage3.name	Этаж 3						
mission.mercurySurfaceLevels.stage4.name	Этаж 4						
mission.mercurySurfaceLevels.stage5.name	Этаж 5						
ui.magnum.module.navigation.name	Навигация						
ui.magnum.module.navigation.shortdesc	Мониторинг и аналитика						
ui.magnum.module.navigation.treecaption	Дерево технологий навигации						
ui.magnum.module.engineer.name	Инженерия						
ui.magnum.module.engineer.shortdesc	Разработка и модификации						
ui.magnum.module.engineer.treecaption	Инженерное дерево технологий						
ui.magnum.module.research.name	Исследования						
ui.magnum.module.research.shortdesc	Научные разработки						
ui.magnum.module.research.treecaption	Исследовательское дерево технологий						
ui.magnum.module.supply.name	Снабжение						
ui.magnum.module.supply.shortdesc	Сбор ресурсов						
ui.magnum.module.supply.treecaption	Дерево технологий снабжения						
ui.magnum.module.hangar.name	Ангар						
ui.magnum.module.hangar.shortdesc	Шаттл и эвакуация						
ui.magnum.module.hangar.treecaption	Дерево технологий ангара						
ui.magnum.module.cloning.name	Клонирование						
ui.magnum.module.cloning.shortdesc	Генетические исследования						
ui.magnum.module.cloning.treecaption	Дерево технологий клонирования						
mgperk.news_department.name	Мониторинг						
mgperk.news_department.subName	Центр аналитики						
mgperk.nd_charge_bonus.name	Массив батарей						
mgperk.nd_charge_bonus.subName	Энергетическая установка						
mgperk.nd_cooldown_time_reduce.name	Современные Процессоры						
mgperk.nd_cooldown_time_reduce.subName	Ускорение операций						
mgperk.nd_reward_points_per_floor.name	Дешифраторы данных						
mgperk.nd_reward_points_per_floor.subName	Оперативная выгода						
mgperk.nd_reputation_bonus.name	Дипломатический протокол						
mgperk.nd_reputation_bonus.subName	Репутационный инструмент						
mgperk.nd_reputation_bonus_2.name	Сеть информаторов						
mgperk.nd_reputation_bonus_2.subName	Репутационный инструмент						
mgperk.nd_cooldown_time_reduce_2.name	Пиратский софт						
mgperk.nd_cooldown_time_reduce_2.subName	Ускорение операций						
mgperk.nd_charge_bonus_2.name	Аккумуляторная станция						
mgperk.nd_charge_bonus_2.subName	Энергетическая установка						
mgperk.nd_reward_points_per_floor_2.name	Компромат на менеджмент						
mgperk.nd_reward_points_per_floor_2.subName	Оперативная выгода						
mgperk.hyperwave_scanner_department.name	Сканер						
mgperk.hyperwave_scanner_department.subName	Дешифратор местности						
mgperk.hwsc_scan_floor_bonus.name	Вольфрамовые изоляторы						
mgperk.hwsc_scan_floor_bonus.subName	Усилитель сигнала						
mgperk.hwsc_enemy_floor_bonus.name	Рассылка пропаганды						
mgperk.hwsc_enemy_floor_bonus.subName	Демотивация противника						
mgperk.hwsc_itemdrop_scanfloor_bonus.name	Сигнатуры ценностей						
mgperk.hwsc_itemdrop_scanfloor_bonus.subName	Оперативная выгода						
mgperk.hwsc_enemy_floor_bonus_2.name	Взлом систем безопасности						
mgperk.hwsc_enemy_floor_bonus_2.subName	Демотивация противника						
mgperk.hwsc_itemdrop_scanfloor_bonus_2.name	Коды производителей						
mgperk.hwsc_itemdrop_scanfloor_bonus_2.subName	Оперативная выгода						
mgperk.hwsc_scan_floor_bonus_2.name	Иридий-192						
mgperk.hwsc_scan_floor_bonus_2.subName	Усилитель сигнала						
mgperk.hwsc_item_tlevel_drop_bonus.name	Массив секретных данных						
mgperk.hwsc_item_tlevel_drop_bonus.subName	Оперативная сверхприбыль						
mgperk.hwsc_item_tlevel_drop_bonus_2.name	Связи с учеными						
mgperk.hwsc_item_tlevel_drop_bonus_2.subName	Оперативная сверхприбыль						
mgperk.proxycorp_department.name	Управление						
mgperk.proxycorp_department.subName	Отдел прокси-корпорации						
mgperk.prco_corp_inventory.name							
mgperk.prco_corp_inventory.subName							
mgperk.prco_corp_strategy.name							
mgperk.prco_corp_strategy.subName							
mgperk.prco_gain_techlevel_bonus.name							
mgperk.prco_gain_techlevel_bonus.subName							
mgperk.prco_item_prodspeed_bonus.name							
mgperk.prco_item_prodspeed_bonus.subName							
mgperk.weaponstation_department.name	Оружейная						
mgperk.weaponstation_department.subName	Оружейная мастерская						
mgperk.armorstation_department.name	Арсенал						
mgperk.armorstation_department.subName	Мастерская брони						
mgperk.augmentstation_department.name	Аугментика						
mgperk.augmentstation_department.subName	Модуль улучшения аугментики						
mgperk.wpst_weapon_upgrade_speed.name	Конструктивные чертежи						
mgperk.wpst_weapon_upgrade_speed.subName	Ускорение разработки						
mgperk.wpst_upg_weapon_cost_reduce.name	Стандартизация						
mgperk.wpst_upg_weapon_cost_reduce.subName	Оптимизация расходов						
mgperk.wpst_upg_more_weapons.name	Хранилище данных						
mgperk.wpst_upg_more_weapons.subName	Объем исследований						
mgperk.wpst_upg_weapon_cost_reduce_2.name	Доступные материалы						
mgperk.wpst_upg_weapon_cost_reduce_2.subName	Оптимизация расходов						
mgperk.wpst_upg_more_weapons_2.name	Стрельбище						
mgperk.wpst_upg_more_weapons_2.subName	Объем исследований						
mgperk.wpst_weapon_upgrade_speed_2.name	Модульные конструкции						
mgperk.wpst_weapon_upgrade_speed_2.subName	Ускорение разработки						
mgperk.wpst_weapon_upgrade_speed_3.name	Массовое производство						
mgperk.wpst_weapon_upgrade_speed_3.subName	Ускорение разработки						
mgperk.wpst_addit_grade_upgrade.name	Промышленный шпионаж						
mgperk.wpst_addit_grade_upgrade.subName	Эффективность						
mgperk.armst_upg_more_armors.name	Испытательный полигон						
mgperk.armst_upg_more_armors.subName	Объем исследований						
mgperk.armst_armor_upgrade_speed.name	Антропометрия						
mgperk.armst_armor_upgrade_speed.subName	Ускорение разработки						
mgperk.armst_armor_upgrade_speed_2.name	Запасные детали						
mgperk.armst_armor_upgrade_speed_2.subName	Ускорение разработки						
mgperk.armst_armor_upgrade_speed_3.name	Печать элементов						
mgperk.armst_armor_upgrade_speed_3.subName	Ускорение разработки						
mgperk.armst_upg_armor_cost_reduce.name	Ребра жесткости						
mgperk.armst_upg_armor_cost_reduce.subName	Оптимизация расходов						
mgperk.armst_upg_more_armors_2.name	Классификация брони						
mgperk.armst_upg_more_armors_2.subName	Объем исследований						
mgperk.armst_upg_armor_cost_reduce_2.name	Каркасные модели						
mgperk.armst_upg_armor_cost_reduce_2.subName	Оптимизация расходов						
mgperk.armst_addit_grade_upgrade.name	Заимствование материалов						
mgperk.armst_addit_grade_upgrade.subName	Эффективность разработки						
mgperk.augst_augmenic_upgrade_speed.name							
mgperk.augst_augmenic_upgrade_speed.subName							
mgperk.augst_upg_augmenic_cost_reduce.name							
mgperk.augst_upg_augmenic_cost_reduce.subName							
mgperk.augst_addit_grade_upgrade.name							
mgperk.augst_addit_grade_upgrade.subName							
mgperk.augst_upg_more_augmentics.name							
mgperk.augst_upg_more_augmentics.subName							
mgperk.prodline_department.name	Конвейер						
mgperk.prodline_department.subName	Модуль производства						
mgperk.purge_brigade_department.name	Мусорщики						
mgperk.purge_brigade_department.subName	Модуль добычи ресурсов						
mgperk.store_constructor_department.name	Переработка						
mgperk.store_constructor_department.subName	Модуль разбора						
mgperk.prln_magnum_produce_speed.name	Современные станки						
mgperk.prln_magnum_produce_speed.subName	Ускорение сборки						
mgperk.prln_magnum_produce_speed_2.name	Калибровка оборудования						
mgperk.prln_magnum_produce_speed_2.subName	Ускорение сборки						
mgperk.prln_produce_item_slot_count.name	Дополнительные линии						
mgperk.prln_produce_item_slot_count.subName	Мощности						
mgperk.prln_produce_queue_slot_count.name	Контроль смен						
mgperk.prln_produce_queue_slot_count.subName	Серийное производство						
mgperk.prln_produce_item_slot_count_2.name	Дефектоскоп						
mgperk.prln_produce_item_slot_count_2.subName	Мощности						
mgperk.prln_magnum_produce_speed_3.name	Роботизация						
mgperk.prln_magnum_produce_speed_3.subName	Ускорение сборки						
mgperk.prln_produce_item_slot_count_3.name	Доводочные станки						
mgperk.prln_produce_item_slot_count_3.subName	Мощности						
mgperk.prln_magnum_produce_speed_4.name	3D-печать						
mgperk.prln_magnum_produce_speed_4.subName	Ускорение сборки						
mgperk.pubg_bonus_resources.name	Увеличеные отряды						
mgperk.pubg_bonus_resources.subName	Добыча ресурсов						
mgperk.pubg_bonus_food_meds.name	Холодильные камеры						
mgperk.pubg_bonus_food_meds.subName	Еда и медикаменты						
mgperk.pubg_bonus_ammo_grenades.name	Оружейные подсумки						
mgperk.pubg_bonus_ammo_grenades.subName	Боеприпасы						
mgperk.pubg_bonus_armors_weapons.name	Автономные тележки						
mgperk.pubg_bonus_armors_weapons.subName	Оружие и броня						
mgperk.pubg_bonus_food_meds_2.name	Датчики калорий						
mgperk.pubg_bonus_food_meds_2.subName	Еда и медикаменты						
mgperk.pubg_bonus_resources_2.name	Металлодетекторы						
mgperk.pubg_bonus_resources_2.subName	Добыча ресурсов						
mgperk.pubg_bonus_armors_weapons_2.name	Военные консультанты						
mgperk.pubg_bonus_armors_weapons_2.subName	Оружие и броня						
mgperk.pubg_bonus_ammo_grenades_2.name	Тактическое передвижение						
mgperk.pubg_bonus_ammo_grenades_2.subName	Боеприпасы						
mgperk.stcon_disassembly_items_speed.name	Промышленный шредер						
mgperk.stcon_disassembly_items_speed.subName	Эффективность						
mgperk.stcon_more_comps_on_disasm.name	Магнитный сепаратор						
mgperk.stcon_more_comps_on_disasm.subName	Выгода от разбора						
mgperk.stcon_disassembly_items_speed_2.name	Гидравлический пресс						
mgperk.stcon_disassembly_items_speed_2.subName	Эффективность						
mgperk.stcon_more_comps_on_disasm_2.name	Автономный манипулятор						
mgperk.stcon_more_comps_on_disasm_2.subName	Выгода от разбора						
mgperk.stcon_addit_rnd_comp_on_disasm.name	Атомный анализатор						
mgperk.stcon_addit_rnd_comp_on_disasm.subName	Дополнительные ценности						
mgperk.memdefrag_department.name	Классы						
mgperk.memdefrag_department.subName	Модуль улучшения памяти						
mgperk.morphanal_department.name	Пакты						
mgperk.morphanal_department.subName	Морфопротекторный анализатор						
mgperk.bramengine_department.name	Путешествия						
mgperk.bramengine_department.subName	Брамфатурный двигатель						
mgperk.memdf_classes_to_modify.name	Слепок сознания						
mgperk.memdf_classes_to_modify.subName	Объем исследований						
mgperk.memdf_class_upgrade_speed.name	Современный томограф						
mgperk.memdf_class_upgrade_speed.subName	Ускорение разработки						
mgperk.memdf_class_upgrade_speed_2.name	ИИ-инструменты						
mgperk.memdf_class_upgrade_speed_2.subName	Ускорение разработки						
mgperk.memdf_perks_count_to_switch.name	Нейролингвисты						
mgperk.memdf_perks_count_to_switch.subName	Эффективность						
mgperk.memdf_perks_count_to_switch_2.name	Шунтирование мозга						
mgperk.memdf_perks_count_to_switch_2.subName	Эффективность						
mgperk.memdf_classes_to_modify_2.name	Паттерны воспоминаний						
mgperk.memdf_classes_to_modify_2.subName	Объем исследований						
mgperk.memdf_perks_count_to_switch_3.name	Симуляция памяти						
mgperk.memdf_perks_count_to_switch_3.subName	Эффективность						
mgperk.memdf_classes_to_modify_3.name	Кристаллические носители						
mgperk.memdf_classes_to_modify_3.subName	Объем исследований						
mgperk.moranl_pacts_to_modify.name							
mgperk.moranl_pacts_to_modify.subName							
mgperk.moranl_pact_upgrade_speed.name							
mgperk.moranl_pact_upgrade_speed.subName							
mgperk.moranl_pact_upgrade_speed_2.name							
mgperk.moranl_pact_upgrade_speed_2.subName							
mgperk.moranl_pacts_to_modify_2.name							
mgperk.moranl_pacts_to_modify_2.subName							
mgperk.moranl_pacts_to_modify_3.name							
mgperk.moranl_pacts_to_modify_3.subName							
mgperk.moranl_pact_addit_props.name							
mgperk.moranl_pact_addit_props.subName							
mgperk.breng_reduce_reload_duration.name							
mgperk.breng_reduce_reload_duration.subName							
mgperk.breng_reduce_reload_duration_2.name							
mgperk.breng_reduce_reload_duration_2.subName							
mgperk.breng_reduce_reload_duration_3.name							
mgperk.breng_reduce_reload_duration_3.subName							
mgperk.breng_reduce_reload_duration_4.name							
mgperk.breng_reduce_reload_duration_4.subName							
mgperk.autonomcapsule_department.name	Капсула						
mgperk.autonomcapsule_department.subName	Модуль эвакуации						
mgperk.cargoshuttle_department.name	Шаттл						
mgperk.cargoshuttle_department.subName	Модуль шаттла						
mgperk.tradeshuttle_department.name	Торговля						
mgperk.tradeshuttle_department.subName	Модуль бартера						
mgperk.aucap_capsule_inventory_size.name	Расширенный корпус						
mgperk.aucap_capsule_inventory_size.subName	Грузовой отсек						
mgperk.aucap_capsule_restore_speed.name	Топливные насосы						
mgperk.aucap_capsule_restore_speed.subName	Заправочные системы						
mgperk.aucap_capsule_inventory_size_2.name	Оптимизация хранения						
mgperk.aucap_capsule_inventory_size_2.subName	Грузовой отсек						
mgperk.aucap_capsule_inventory_size_3.name	Подвесные капсулы						
mgperk.aucap_capsule_inventory_size_3.subName	Грузовой отсек						
mgperk.aucap_capsule_restore_speed_2.name	Дроны-заправщики						
mgperk.aucap_capsule_restore_speed_2.subName	Заправочные системы						
mgperk.aucap_capsule_charges_count.name	Дополнительный шлюз						
mgperk.aucap_capsule_charges_count.subName	Капсульный флот						
mgperk.cgsht_shuttle_inventory_size.name	Современный корпус						
mgperk.cgsht_shuttle_inventory_size.subName	Грузовой отсек						
mgperk.cgsht_shuttle_inventory_size_2.name	Миниатюризация						
mgperk.cgsht_shuttle_inventory_size_2.subName	Грузовой отсек						
mgperk.trdsh_shuttle_move_speed.name	Маршрутные маяки						
mgperk.trdsh_shuttle_move_speed.subName	Время доставки						
mgperk.trdsh_value_of_shuttle_items.name	Накладная на груз						
mgperk.trdsh_value_of_shuttle_items.subName	Транспортная наценка						
mgperk.trdsh_shuttle_restore_speed.name	Возвращаемый модуль						
mgperk.trdsh_shuttle_restore_speed.subName	Обслуживание						
mgperk.trdsh_shuttle_move_speed_2.name	Улучшенная электроника						
mgperk.trdsh_shuttle_move_speed_2.subName	Время доставки						
mgperk.trdsh_shuttle_restore_speed_2.name	Автономное обслуживание						
mgperk.trdsh_shuttle_restore_speed_2.subName	Обслуживание						
mgperk.trdsh_value_of_shuttle_items_2.name	Сеть складов						
