	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp
ui.missionstatistic.beneficiar	{0} as a beneficiary received:	{0} как заказчик получает:	{0} als Begünstigter erhalten:	{0} en tant que bénéficiaire a reçu :	{0} como beneficiario recibió:	{0} jako beneficjent otrzymał:	{0} yararlanan olarak aldı:	{0} como beneficiário recebeu:	{0}에서 수혜자로서 받은 것:	{0} の受益者として受け取った：	{0}作为受益人收到：
ui.missionstatistic.victim	{0} as a victim lost:	{0} как потерпевший теряет:	{0} als Opfer verloren:	{0} en tant que victime perd:	{0} como víctima perdida:	{0} jako ofiara stracił:	{0} kurban olarak kaybetti:	{0} como vítima perdida:	{0}에서 피해자로서 잃은 것:	{0}は被害者として失った：	{0}作为受害者失去了：
ui.missionstatistic.reward	{0} reward:	{0} получает:	{0} Belohnung:	{0} récompense:	{0} recompensa:	{0} nagroda:	{0} ödül:	{0} recompensa:	{0} 보상:	{0} 報酬:	{0} 奖励:
ui.hud.caption.takeskull	take	взять	Nehmen	prendre	tomar	weź	al	levar	수집하기	取得	拾取
ui.hud.caption.leaveskull	leave	оставить	Zurücklassen	partir	abandonar	wyjdź	bırak	deixar	그대로 두기	立ち去る	离开
ui.hud.caption.outofammo	out of ammo	нет боеприпасов	Munition leer	à court de munitions	sin municiones	brak amunicji	mermi bitti	sem munição	탄약 소진	弾切れ	弹药耗尽
ui.hud.caption.needreload	needs to reload	нужна перезарядка	Muss nachladen	rechargez	recarga necesaria	musisz przeładować	doldurman gerek	precisa de recarga	재장전 필요	リロードが必要です	需要装填
ui.hud.caption.weapondamaged	weapon damaged	оружие сломано	Waffe beschädigt	arme endommagée	arma dañada	broń uszkodzona	silah hasar aldı	arma danificada	무기 고장	武器破損	武器受损
ui.hud.caption.class	class	класс	Klasse	classe	clase	klasa	sınıf	classe	클래스	クラス	职业
ui.hud.qmorph.posdelta	descent 	нисхождение	Abstieg 	descendre 	descenso 	zejdź niżej 	iniş 	descida 	하강 	下降 	下降 
ui.hud.qmorph.negdelta	ascent	восхождение	Aufstieg	monter	ascenso	wejdź wyżej	çıkış	subida	상승	上昇	上升
ui.hud.health.posdelta	healing	лечение	Heilung	soin	sanación	leczenie	iyileşiyor	cura	치료 중	回復	治疗
ui.hud.health.negdelta	damage	повреждение	Schaden	dégâts	daño	obrażenia	hasar	dano	피해	ダメージ	伤害
ui.hud.qmorphos.stage	q-morphosis phase	фаза квазиморфоза	Q-Morphose-Phase	phase de q-morphose	fase q-morfosis	faza q-morfozy	k-morfoz fazı	fase de q-morphose	준형성 단계	クアージモーフォーシスのフェーズ	异变阶段
ui.hud.qmorphos.eccolapse_chance	eccolapse chance	шанс экколапса	Chance für Biokollaps	risque d'éccolapse	riesgo de eccolapso	szansa na ekkolapsję	yumurtlama ihtimali	chance de eccolapso	악마 빙의 기회	エコラプス率	尸变几率
ui.hud.qmorphos.muscle_mass	muscle mass	мышечная масса	Muskelmasse	masse musculaire	masa muscular	masa mięśniowa	kas kütlesi	massa muscular	근육량	筋肉量	肌肉组织
ui.hud.qmorphos.dmg_immunity	damage resistance	сопр. урону	Schadenswiderstand	résistance aux dégâts	resistencia al daño	odp. na obrażenia	hasara karşı dayanıklılık	resistência a danos	대미지 저항력	ダメージ耐性	伤害抗性
ui.hud.qmorphos.regeneration	regeneration	регенерация	Regeneration	régénération	regeneración	regeneracja	yenilenme	regeneração	재생성	再生力	再生
ui.hud.qmorphos.aggresivnes	aggression	агрессивность	Aggressivität	agressivité	agresión	agresja	saldırganlık	agressão	공격성	攻撃力	攻击性
ui.hud.qmorphos.nextphaseon	next phase on	след. фаза	Nächste Phase bei	phase suivante	próxima fase	kolejna faza:	sıradaki faz:	próxima fase em	다음 준형성 단계:	次回フェーズの所要値：	下一阶段：
notification.perklevelup	{0} increased to {1}	{0} улучшен до {1}	{0} erhöht auf {1}	{0} passe à {1}	{0} aumentó a {1}	{0}: zwiększenie do {1}	{0}, {1} seviyesine yükseldi	{0} aumentou para {1}	{0}에서 {1}(으)로 상승함	{0}が{1}増加	{0}已提升至{1}
notification.perklevelup.level	level {0}	уровня {0}	Stufe {0}	niveau {0}	nivel {0}	poziom {0}	{0}. seviye	nível {0}	레벨 {0}	レベル{0}	{0}级
notification.unlockmerc	unlocked mind chip {0}	разблокирован чип сознания {0}	Bewusstseins-Chip {0} freigeschaltet	puce d'esprit {0} débloquée	chip mental {0} desbloqueado	odblokowano czip umysłu: {0}	{0} bilinç çipi açıldı	desbloqueou o chip de mente {0}	해제된 마인드 칩 {0}	マインドチップ{0}をアンロック完了	已解锁意识芯片{0}
notification.unlockmercclass	unlocked class chip {0}	разблокирован чип класса {0}	Klassen-Chip {0} freigeschaltet	puce de classe {0} débloquée	chip de clase {0} desbloqueado	odblokowano czip klasy: {0}	{0} sınıf çipi açıldı	desbloqueou o chip de classe {0}	해제된 클래스 칩 {0}	クラスチップ{0}をアンロック完了	已解锁职业芯片{0}
notification.unlockitem	unlocked item chip {0}	разблокирован чип предмета {0}	Gegenstands-Chip {0} freigeschaltet	puce d'objet {0} débloquée	chip de objetos {0} desbloqueado	odblokowano czip produkcyjny: {0}	{0} eşya çipi açıldı	desbloqueou o chip de item {0}	해제된 아이템 칩 {0}	アイテムチップ{0}をアンロック完了	已解锁物品芯片{0}
notification.itemproduced	item {0} produced	предмет {0} произведен	Gegenstand {0} produziert	objet {0} produit	objeto {0} producido	wyprodukowano przedmiot: {0}	{0} eşyası üretildi	item {0} produzido	아이템 {0} 생산 완료	アイテム{0}の生産完了	已生产物品{0}
notification.projectdeveloped	Project {0} finished	Проект {0} завершен	Projekt {0} abgeschlossen	Projet {0} terminé	Proyecto {0} finalizado	Projekt {0} zakończony	Proje {0} tamamlandı	Projeto {0} concluído	프로젝트 {0} 완료됨	プロジェクト{0}完了	项目{0}已完成
notification.missionadded	Found mission {0}	Найдена миссия {0}	Mission {0} gefunden	Mission {0} trouvée	Misión {0} encontrada	Znaleziono misję {0}	Görev bulundu {0}	Missão encontrada {0}	미션 {0}을(를) 찾았습니다	ミッション{0}が見つかりました	发现任务 {0}
notification.floorscanned	Floor scanned	Этаж просканирован	Stockwerk gescannt	Étage scanné	Piso escaneado	Piętro zeskanowane	Kat tarandı	Andar escaneado	층이 스캔되었습니다	フロアがスキャンされました	楼层已扫描
notification.merc_cloned	{0}	Клонирование завершено: {0}	Klonen abgeschlossen: {0}	Clonage terminé : {0}	Clonación completada: {0}	Klonowanie zakończone: {0}	Klonlama tamamlandı: {0}	Clonagem concluída: {0}	복제 완료됨: {0}	クローニング完了: {0}	克隆完成：{0}
notification.merc_healed	{0}	Лечение завершено: {0}	Behandlung abgeschlossen: {0}	Traitement terminé : {0}	Tratamiento completado: {0}	Leczenie zakończone: {0}	Tedavi tamamlandı: {0}	Tratamento concluído: {0}	치료 완료: {0}	治療完了: {0}	治疗完成: {0}
notification.merc_trained	{0}: {1} {2}	Тренировка {0}: {1} улучшен до {2}	{0}: {1} verbessert auf {2}	{0} : {1} amélioré à {2}	{0}: {1} mejorado a {2}	{0}: {1} ulepszony do {2}	{0}: {1} {2} olarak güncellendi	{0}: {1} melhorado para {2}	{0}: {1}이(가) {2}(으)로 업그레이드됨	{0}：{1}が{2}にアップグレードされました	{0}：{1}升级至{2}
notification.deconstruction_completed	Disassembly complete	Разборка завершена	Demontage abgeschlossen	Désassemblage terminé	Desmontaje completo	Demontaż zakończony	Söküm tamamlandı	Desmontagem completa	분해 완료	分解完了	拆卸完成
notification.tradeshuttle.arrived	Trade shuttle has arrived	Торговый шаттл прибыл	Die Handelsfähre ist angekommen	La navette commerciale est arrivée	La lanzadera comercial ha llegado	Prom handlowy dotarł	Ticaret mekiği geldi	A nave comercial chegou	무역 셔틀이 도착했습니다	取引シャトルが到着しました	贸易穿梭机已到达
notification.tradeshuttle.dispatch	Trade shuttle has been dispatched	Торговый шаттл отправлен	Handelsshuttle wurde abgesandt	Navette commerciale a été envoyée	La lanzadera comercial ha sido despachada	Prom handlowy został wysłany	Ticaret mekiği gönderildi	Ônibus espacial comercial foi despachado	무역 셔틀이 발송되었습니다	貿易シャトルが発送されました	贸易穿梭机已派遣
ui.map.signallost	signal lost...	сигнал потерян...	Signal verloren …	perte du signal...	sin señal...	utracono sygnał...	sinyal kaybedildi...	sinal perdido...	신호 끊김	信号切断…	讯号丢失……
ui.qmorphos.low	low	низкий	Niedrig	faible	baja	nis.	düşük	baixa	낮음	低	低
ui.qmorphos.medium	medium	средний	Mittel	moyen	media	śred.	orta	média	중간	中	中
ui.qmorphos.high	high	высокий	Hoch	élevé	alta	wys.	yüksek	alta	높음	高	高
ui.raidscreen.peacefulstationvisit	<color=#FFFEC1>Task:</color> This is a peaceful visit to the station. We can evacuate from here at any moment.	<color=#FFFEC1>Задача:</color> Мирное посещение станции. Эвакуация разрешена в любой момент.	<color=#FFFEC1>Auftrag:</color> Dies ist ein friedlicher Besuch auf der Station. Wir können jederzeit von hier evakuieren.	<color=#FFFEC1>Tâche :</color> Ceci est une visite pacifique des lieux. Nous pouvons évacuer à tout moment.	<color=#FFFEC1>Misión:</color> Esta es una visita pacífica. Podemos evacuar desde aquí en cualquier momento.	<color=#FFFEC1>Zadanie:</color> To pokojowa wizyta na stacji. Możemy się stąd ewakuować w każdej chwili.	<color=#FFFEC1>Görev:</color> İstasyona sakin bir ziyarette bulunacağız. İstediğimiz zaman tahliye edebiliriz.	<color=#FFFEC1>Tarefa:</color> Esta é uma visita pacífica à estação. Podemos evacuar a qualquer momento a partir daqui.	<color=#FFFEC1>임무:</color> 정거장에 평화롭게 방문합니다. 언제든지 이곳에서 철수할 수 있습니다.	<color=#FFFEC1>任務：</color>平時の訪問。ここからはいつでも退避できる。	<color=#FFFEC1>任务：</color>本次行动为和平访问站点。我们可以随时撤离。
ui.magnum.ready	Ready: {0}/{1}	Готово: {0}/{1}	Fertig: {0}/{1}	Prêt : {0}/{1}	Listo: {0}/{1}	Gotowe: {0}/{1}	Hazır: {0}/{1}	Pronto: {0}/{1}	준비됨: {0}/{1}	準備完了：{0}/{1}	准备就绪：{0}/{1}
ui.magnum.projects_available	Projects: {0}/{1}	Проекты: {0}/{1}	Projekte: {0}/{1}	Projets: {0}/{1}	Proyectos: {0}/{1}	Projekty: {0}/{1}	Projeler: {0}/{1}	Projetos: {0}/{1}	프로젝트: {0}/{1}	プロジェクト: {0}/{1}	项目: {0}/{1}
ui.magnum.project.develope	Project "{0}"	Проект "{0}"	Projekt "{0}"	Projet "{0}"	Proyecto "{0}"	Projekt "{0}"	Proje "{0}"	Projeto "{0}"	프로젝트 "{0}"	プロジェクト"{0}"	项目 "{0}"
ui.magnum.training_available	Training: {0}/{1}	Тренируется: {0}/{1}	Training: {0}/{1}	Entraînement : {0}/{1}	Entrenamiento: {0}/{1}	Trening: {0}/{1}	Eğitim: {0}/{1}	Treinamento: {0}/{1}	훈련 중: {0}/{1}	トレーニング：{0}/{1}	训练中：{0}/{1}
ui.magnum.producing_now	Producing: {0}/{1}	Производится: {0}/{1}	Produktion: {0}/{1}	Production : {0}/{1}	Produciendo: {0}/{1}	Produkcja: {0}/{1}	Üretim: {0}/{1}	Produzindo: {0}/{1}	생산 중: {0}/{1}	生産中：{0}/{1}	生产中：{0}/{1}
ui.magnum.recycling_now	Time left to recycle	До конца разбора предметов	Verbleibende Zeit bis zum Recycling	Temps restant pour le recyclage	Tiempo restante para reciclar	Pozostały czas do recyklingu	Geri dönüşüme kalan süre	Tempo restante para reciclagem	재활용까지 남은 시간	リサイクルまでの残り時間	距离回收的剩余时间
ui.magnum.tradeshuttle.ready	Ready to send	Готов к отправке	Bereit zum Senden	Prêt à envoyer	Listo para enviar	Gotowy do wysłania	Göndermeye hazır	Pronto para enviar	보내기 준비됨	送信準備完了	准备发送
ui.magnum.tradeshuttle.arrivedtime	On the way: {0}	В пути: {0}	Unterwegs: {0}	En chemin : {0}	En camino: {0}	W drodze: {0}	Yolda: {0}	A caminho: {0}	길에: {0}	出発間近：{0}	在路上：{0}
ui.magnum.tradeshuttle.cooldown	Recharging: {0}	Перезарядка: {0}	Aufladen: {0}	Rechargement : {0}	Recargando: {0}	Przeładowanie: {0}	Yeniden şarj: {0}	Recarregando: {0}	충전 중: {0}	再充電: {0}	重新充电：{0}
ui.magnum.operators_training_list	Operator training list	Список обучения оперативников	Liste zur Ausbildung der Operateure	Liste de formation des opérateurs	Lista de entrenamiento para operadores	Lista szkolenia operatorów	Operatör eğitim listesi	Lista de treinamento dos operadores	운영자 교육 목록	オペレーター研修リスト	操作员培训列表
ui.magnum.project.no_mods_selected	Improvements not selected	Не выбраны улучшения	Verbesserungen nicht ausgewählt	Améliorations non sélectionnées	Mejoras no seleccionadas	Ulepszenia nie wybrane	İyileştirmeler seçilmedi	Melhorias não selecionadas	개선 사항이 선택되지 않았습니다	改善が選択されていません	未选择改进
ui.magnum.project.insufficient_resources	Not enough resources	Недостаточно ресурсов	Nicht genug Ressourcen	Ressources insuffisantes	No hay suficientes recursos	Niewystarczające zasoby	Yeterli kaynak yok	Recursos insuficientes	자원이 부족합니다	リソースが足りない	资源不足
ui.magnum.project.mods_limit_reached	Modification limit reached	Достигнут лимит модификаций	Modifikationslimit erreicht	Limite de modification atteinte	Se alcanzó el límite de modificación	Osiągnięto limit modyfikacji	Modifikasyon limitine ulaşıldı	Limite de modificação alcançado	수정 한도에 도달함	変更制限に達しました	已达到修改限制
ui.magnum.project.selectitem	Select the item to develop	Выберите элемент для разработки	Wählen Sie das zu entwickelnde Element aus	Sélectionnez l'élément à développer	Seleccione el artículo a desarrollar	Wybierz element do opracowania	Geliştirmek için öğeyi seçin	Selecione o item para desenvolver	개발할 항목 선택	開発する項目を選択	选择要开发的项目
ui.magnum.project.selectoperator	Select the operator to develop	Выберите оперативника для разработки	Wählen Sie den Operator zur Entwicklung aus	Sélectionnez l'opérateur à développer	Seleccione el operador para desarrollar	Wybierz operatora do rozwoju	Geliştirmek için operatörü seçin	Selecione o operador para desenvolver	개발할 작전 요원을 선택하세요	開発するオペレーターを選択してください	选择要开发的操作员
ui.magnum.project.selectclass	Select the class to develop	Выберите класс для разработки	Wählen Sie die Klasse zur Entwicklung aus	Sélectionnez la classe à développer	Seleccione la clase para desarrollar	Wybierz klasę do rozwijania	Geliştirmek için sınıfı seçin	Selecione a classe para desenvolver	개발할 클래스를 선택하십시오	開発するクラスを選択してください	选择要开发的类
