	English						
mission.Pirates_CivilRes_Defense1.briefing	It is necessary to <color=#FFFEC1>take a defensive position</color> and hold out long enough for the attackers to understand that this time they will not succeed. We have one mission: to ensure that %STATION_NAME% remains in the hands of pirates when the dust settles and the smoke clears.						
mission.Pirates_CivilRes_Defense1.objective0	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Pirates_CivilRes_Defense1.after	The pirates retained control of %STATION_NAME%. Direct actions proved to be a losing strategy for the <color=#FFFEC1>Civil Resistance</color>. This means that they will now move on to murder, espionage and sabotage. There will be work for us here soon. In the meantime, Magnum received a cargo from the <color=#FFFEC1>Unchained Belt</color>.						
mission.Pirates_CivilRes_Escort1.desc	<color=#FFFEC1>Task:</color> Escort the captain of the pirate crew to the safe location.						
mission.Pirates_CivilRes_Escort1.details	<color=#FFFEC1>Details:</color> %STATION_NAME% has long been in the hands of pirates. An experienced pirate commander uses it to systematically spoil everyone who interferes with the <color=#FFFEC1>Unchained Belt</color>. This does not suit both the corporation and the <color=#FFFEC1>Civil Resistance</color>.<br><br>The rebels placed a contract for PMC to eliminate the station commander %STATION_NAME%. We can take a contract from the pirates to protect them. If we need to improve our relationship with the <color=#FFFEC1>Unchained Belt</color>, there is no better way.						
mission.Pirates_CivilRes_Escort1.briefing	The target's location is marked on your map. <color=#FFFEC1>Escort</color> the pirate commander to the specified location on %STATION_NAME%. Move from level to level until you are safe. The attackers are the <color=#FFFEC1>Civil Resistance</color> colnodes. Exploring %STATION_NAME% is not included in the task list, but if you see something interesting, act according to the circumstances.						
mission.Pirates_CivilRes_Escort1.objective0	Escort is a routine job. <color=#FFFEC1>Your task</color>: escort the commander to the safe location specified by the pirates.						
mission.Pirates_CivilRes_Escort1.after	The <color=#FFFEC1>Unchained Belt</color> is grateful for the rescue of the experienced captain. The pirates who were loading the reward onto Magnum seemed like good guys to me.						
mission.Pirates_CivilRes_Control1.desc	<color=#FFFEC1>Task:</color> Protect the resource warehouse at %STATION_NAME%.						
mission.Pirates_CivilRes_Control1.details	<color=#FFFEC1>Details:</color> the <color=#FFFEC1>Unchained Belt</color> and the <color=#FFFEC1>Civil Resistance</color> hate each other as much as corporations. Mutual accusations between these groups are the essence of politics in the <color=#FFFEC1>Main Belt</color>. So, the pirate crew from %STATION_NAME% asks us to help <color=#FFFEC1>protect the resource warehouse</color>. The colnodes are trying to destroy it, sparing no effort and time.						
mission.Pirates_CivilRes_Control1.briefing	We have marked the location of the warehouse on your map. Sabotage groups will infiltrate %STATION_NAME% as they overcome the anti-space defenses. Eliminate them and <color=#FFFEC1>do not let the warehouse be destroyed</color>.						
mission.Pirates_CivilRes_Control1.objective0	You need to <color=#FFFEC1>protect the pirate warehouse</color>. It is a mountain of boxes. You yourself have seen them many times in the cargo hold of Magnum.						
mission.Pirates_CivilRes_Control1.after	Great job, <color=#FFFEC1>Boss</color>. The pirates prepared and sent valuable cargo to Magnum as a reward.						
mission.Pirates_CivilRes_Infiltration1.desc	<color=#FFFEC1>Task:</color> Eliminate all infiltration teams.						
mission.Pirates_CivilRes_Infiltration1.details	<color=#FFFEC1>Details:</color> %STATION_NAME% is the main center of operations of the <color=#FFFEC1>Unchained Belt</color> against the <color=#FFFEC1>Civil Resistance</color>. The pirates learned that the rebels had located this place and were preparing a spy operation.<br><br>The target of the colnodes would be the <color=#FFFEC1>PCPU</color> with important data. If the device is stolen, the pirates will have to redo all operational and strategic plans.<br><br>If we want to receive a reward for this contract, we must eliminate all the rebel infiltration teams that will come for the <color=#FFFEC1>PCPU</color>.						
mission.Pirates_CivilRes_Infiltration1.briefing	HIS of the <color=#FFFEC1>Civil Resistance</color> hovered nearby. Surely they already know where the <color=#FFFEC1>PCPU</color> is located. It is necessary to prevent infiltration of %STATION_NAME% by <color=#FFFEC1>destroying all groups of colnodes</color>.<br><br>Pirates are usually not too concerned about the safety of property: they do not hope to hold the station for long. Therefore, they won’t notice the loss of a couple of things, but it’s better not to be distracted from the main task.						
mission.Pirates_CivilRes_Infiltration1.objective0	<color=#FFFEC1>Task:</color> Eliminate all infiltration teams.						
mission.Pirates_CivilRes_Infiltration1.after	The <color=#FFFEC1>Civil Resistance</color> is forced to look for another way to find out about the pirates' plans. We have already received our reward, but it seems that events around this station are only gaining momentum.						
mission.Pirates_CivilRes_Security1.desc	<color=#FFFEC1>Task:</color> Protect %STATION_NAME% from looting.						
mission.Pirates_CivilRes_Security1.details	The <color=#FFFEC1>Civil Resistance</color> attacks %STATION_NAME%, regardless of losses. The pirate crew that holds the defense there is asking for help. If we respond, we will need to provide the colnodes with a worthy meeting: hold off their attacks until reinforcements from the <color=#FFFEC1>Unchained Belt</color> arrive. It seems that the rebels really need something at this station, and they will attack as long as there is even a slight chance of success. <color=#FFFEC1>Our task</color>: hold out long enough.						
mission.Pirates_CivilRes_Security1.briefing	%VICTIM_NAME% throws squad after squad into battle. You need to hold out until the forces of the <color=#FFFEC1>Unchained Belt</color> arrive.						
mission.Pirates_CivilRes_Security1.objective0	<color=#FFFEC1>Task:</color> Protect %STATION_NAME% from looting.						
mission.Pirates_CivilRes_Security1.after	The pirates will have to deal with the mess that the colnodes created at %STATION_NAME% for a long time. We also took part in this, but received a reward.						
mission.Pirates_Xiomara_RaiderCapture1.desc	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Pirates_Xiomara_RaiderCapture1.details	<color=#FFFEC1>Details:</color> After %VICTIM_NAME% appeared in the Solar System, the space pirates did not think long. If something can become prey for the <color=#FFFEC1>Unchained Belt</color>, it will become it. The pirates want to recruit us to capture %STATION_NAME% in order to use it as a base of operations in this part of the Solar System.<br><br>Here's what we need to do: walk through %STATION_NAME% and <color=#FFFEC1>destroy it as as many quasimorphs as possible</color>. These creatures act on behalf of %VICTIM_NAME% and it is unknown how they learned to linger in physical reality for a long time.						
mission.Pirates_Xiomara_RaiderCapture1.briefing	We don't know why exactly these <color=#FFFEC1>quasimorphs</color> remain in our reality. As a rule, the quasimorphosis subsides soon after the violence stops. But %VICTIM_NAME% has learned to overcome this limitation. You'll have to work manually.<br><br>After disembarking, methodically move forward through %STATION_NAME% and <color=#FFFEC1>shoot everything that moves</color>. Keep your eyes open and try to be prepared for any turn of events. Good luck.						
mission.Pirates_Xiomara_RaiderCapture1.objective0	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Pirates_Xiomara_RaiderCapture1.after	A pirate crew arrived at %STATION_NAME%, to which the council of commanders of the <color=#FFFEC1>Unchained Belt</color> transferred control. Looks like the pirates are here to stay. We got what we were due: the cargo is already on Magnum.						
mission.Pirates_Xiomara_Elimination1.desc	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Pirates_Xiomara_Elimination1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Unchained Belt</color> has had its eye on %STATION_NAME% for a long time. The pirates would like to make it their base in this part of the Solar System. The station is now in the hands of %VICTIM_NAME%. If they manage to capture it, the corporatists will not even notice that %STATION_NAME% is now in the hands of the pirate crew.<br><br>Only the pirates found out that the station is home to a <color=#FFFEC1>quasimorph of the Duke class</color> and began searching for a contractor to eliminate this monster. This is where we come into play.						
mission.Pirates_Xiomara_Elimination1.briefing	We observe unimaginable leaps of quasimorphosis. We'll drop you off wherever we can. Your task: <color=#FFFEC1>kill the Duke</color>. Don’t try to be a hero and clear out the entire %STATION_NAME%, we have a clear task with clear conditions.						
mission.Pirates_Xiomara_Elimination1.objective0	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Pirates_Xiomara_Elimination1.after	The pirates asked us for quite a long time about the structure of %STATION_NAME% and what we discovered there. Obviously, they can decide to capture it at any moment. The reward is already in the Magnum's cargo hold.						
mission.Pirates_Xiomara_Espionage1.desc	<color=#FFFEC1>Task:</color> Pick up the <color=#FFFEC1>igvalite</color> at %STATION_NAME% and evacuate with it.						
mission.Pirates_Xiomara_Espionage1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Unchained Belt</color> is planning operations related to %STATION_NAME%. Despite the suppression of information by the <color=#FFFEC1>Hexarchy</color>, it is known that this place is in the hands of %VICTIM_NAME%. The pirates discovered something interesting there.<br><br>They caught the signature of an <color=#FFFEC1>igvalite</color> - a quasimorphic artifact capable of accumulating gavvakh. It appears that the quasimorphs use this location to store energy. There is work for us. The pirate liaison offers to infiltrate %STATION_NAME% and <color=#FFFEC1>pick up the igvalite</color>.						
mission.Pirates_Xiomara_Espionage1.briefing	The signature of the <color=#FFFEC1>igvalite</color> has been found, its location is marked on the map. We'll try to drop you off as close to the location as possible, but we can't promise anything: the shuttle pilot is already reporting strange visions.<br><br>Move through %STATION_NAME% carefully, save your strength. %VICTIM_NAME% will certainly defend the <color=#FFFEC1>igvalite</color> with special zeal.						
mission.Pirates_Xiomara_Espionage1.objective0	<color=#FFFEC1>Task:</color> Pick up the <color=#FFFEC1>igvalite</color> at %STATION_NAME% and evacuate with it.						
mission.Pirates_Xiomara_Espionage1.after	The meeting with the pirate crew took place. They almost tried to bite this quasimorphic rock. Valuable cargo from them is on Magnum.						
mission.Pirates_Xiomara_Robbery1.desc	<color=#FFFEC1>Task:</color> Steal all valuable items from %STATION_NAME%.						
mission.Pirates_Xiomara_Robbery1.details	<color=#FFFEC1>Boss</color>, the pirate crew has contacted us. They offer to take part in a robbery, but we are not talking about a raid on a corporate warehouse. They want valuables from %VICTIM_NAME% at %STATION_NAME%. If we agree, we will need to <color=#FFFEC1>find the specified objects</color> on each floor of the station and evacuate with them. After this, %VICTIM_NAME% will remember us for a long time. They always remember.						
mission.Pirates_Xiomara_Robbery1.briefing	Walk through each floor of %STATION_NAME%, find the marked items and escape with the loot.						
mission.Pirates_Xiomara_Robbery1.objective0	<color=#FFFEC1>Task:</color> On each floor of %STATION_NAME%, pick up valuable items, then evacuate.						
mission.Pirates_Xiomara_Robbery1.after	The pirates realized that even quasimorphs could be defeated. They gave us some of their toys. Do you feel like we were being used in the dark, <color=#FFFEC1>Boss</color>?						
mission.Pirates_Xiomara_Defense1.desc	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Pirates_Xiomara_Defense1.details	<color=#FFFEC1>Details:</color> Due to the public enemy status, the pirates cannot directly report that %STATION_NAME% is about to be attacked by %VICTIM_NAME%.<br><br>Our analysts discovered this information with the help of the quasimorphs themselves. They have learned to bypass the <color=#FFFEC1>SBN</color> filters and constantly transmit messages to the network. The <color=#FFFEC1>Hexarchy</color> immediately declares them fakes.<br><br>If we want to support the beleaguered pirate crew, then we should hurry.						
mission.Pirates_Xiomara_Defense1.briefing	As soon as we get you there, the attack will begin. Sensors show that quasimorphs have already appeared in certain places of %STATION_NAME%. <color=#FFFEC1>Hold out</color> for a while, and their onslaught will weaken. It seems that they are not omnipotent either.						
mission.Pirates_Xiomara_Defense1.objective0	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Pirates_Xiomara_Defense1.after	The reward from the pirates is already on Magnum. %STATION_NAME% will serve the <color=#FFFEC1>Unchained Belt</color> for some time to come. But people, whatever they may be, are still better than quasimorphs. Right?						
mission.Pirates_Xiomara_Escort1.desc	<color=#FFFEC1>Task:</color> Escort the pirate captain to the safe location.						
mission.Pirates_Xiomara_Escort1.details	<color=#FFFEC1>Details:</color> At %STATION_NAME% one of the headquarters of the <color=#FFFEC1>Unchained Belt</color> is located. The pirate captain in command here has carried out several successful operations against the quasimorphs. And now %VICTIM_NAME% is going to attack the station. If we take on this urgent contract, we will need to <color=#FFFEC1>escort</color> the captain to the safe location.						
mission.Pirates_Xiomara_Escort1.briefing	<color=#FFFEC1>Escort</color> the captain to the specified location at %STATION_NAME%. Move from level to level until you are safe. Exploring %STATION_NAME% is not included in the task list, but if you see something interesting, act according to the circumstances.						
mission.Pirates_Xiomara_Escort1.objective0	Another day, another mission against the quasimorphs. <color=#FFFEC1>Your task</color>: escort the pirate captain to safety.						
mission.Pirates_Xiomara_Escort1.after	The pirates sent us a valuable package as a reward for saving their man. The cargo is already on board Magnum.						
mission.Pirates_Xiomara_Control1.desc	<color=#FFFEC1>Task:</color> Protect the <color=#FFFEC1>Unchained Belt server</color>.						
mission.Pirates_Xiomara_Control1.details	<color=#FFFEC1>Details:</color> Pirates have seriously gained a foothold at %STATION_NAME%. From here they carried out several successful operations against %VICTIM_NAME%. However, the monsters gathered for a counterattack. Their target will be the station's server equipment. If we want to receive a reward from the pirates, we need to <color=#FFFEC1>prevent the quasimorphs from destroying the computer</color>.						
mission.Pirates_Xiomara_Control1.briefing	The server location is marked on your map. The quasimorphs are already at %STATION_NAME%. Eliminate them all. The <color=#FFFEC1>equipment must survive</color>.						
mission.Pirates_Xiomara_Control1.objective0	<color=#FFFEC1>Task:</color> Protect the <color=#FFFEC1>Unchained Belt server</color>.						
mission.Pirates_Xiomara_Control1.after	The pirates realized that %VICTIM_NAME% was not all-powerful. Sooner or later, pirates will begin their raids on quasimorphic objects.						
mission.Pirates_Xiomara_Counterattack1.desc	<color=#FFFEC1>Task:</color> Eliminate the group of quasimorphs from %VICTIM_NAME% before the <color=#FFFEC1>ritual</color> is completed.						
mission.Pirates_Xiomara_Counterattack1.details	<color=#FFFEC1>Details:</color> Lately, surges in quasimorphosis have been felt at %STATION_NAME%. The captain of the pirate crew told us about this. He asks for help. Apparently, this bramfatura activity attracted %VICTIM_NAME%. They have captured part of the station and are preparing to hold some kind of <color=#FFFEC1>ritual</color> there. You need to get to them and eliminate them before they complete the ritual. The pirates promise a worthy reward for your help.						
mission.Pirates_Xiomara_Counterattack1.briefing	It won't be possible to drop you off any closer. A real war has been going on at %STATION_NAME% for several days. We'll have to hurry. <color=#FFFEC1>Stop the quasimorphs before the ritual ends</color>.						
mission.Pirates_Xiomara_Counterattack1.objective0	<color=#FFFEC1>Task:</color> Eliminate the group of quasimorphs from %VICTIM_NAME% before the <color=#FFFEC1>ritual</color> is completed.						
mission.Pirates_Xiomara_Counterattack1.after	The pirates have already transferred the reward to Magnum. I like these guys: for them both quasimorphs and corporations are a source of loot.						
mission.Pirates_Shedu_RaiderCapture1.desc	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Pirates_Shedu_RaiderCapture1.details	<color=#FFFEC1>Details:</color> After %VICTIM_NAME% appeared in the Solar System, the space pirates did not think long. If something can become prey for the <color=#FFFEC1>Unchained Belt</color>, it will become it. The pirates want to recruit us to capture %STATION_NAME% in order to use it as a base of operations in this part of the Solar System.<br><br>Here's what we need to do: walk through %STATION_NAME% and <color=#FFFEC1>destroy it as as many quasimorphs as possible</color>. These creatures act on behalf of %VICTIM_NAME% and it is unknown how they learned to linger in physical reality for a long time.						
mission.Pirates_Shedu_RaiderCapture1.briefing	We don't know why exactly these <color=#FFFEC1>quasimorphs</color> remain in our reality. As a rule, the quasimorphosis subsides soon after the violence stops. But %VICTIM_NAME% has learned to overcome this limitation. You'll have to work manually.<br><br>After disembarking, methodically move forward through %STATION_NAME% and <color=#FFFEC1>shoot everything that moves</color>. Keep your eyes open and try to be prepared for any turn of events. Good luck.						
mission.Pirates_Shedu_RaiderCapture1.objective0	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Pirates_Shedu_RaiderCapture1.after	A pirate crew arrived at %STATION_NAME%, to which the council of commanders of the <color=#FFFEC1>Unchained Belt</color> transferred control. Looks like the pirates are here to stay. We got what we were due: the cargo is already on Magnum.						
mission.Pirates_Shedu_Elimination1.desc	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Pirates_Shedu_Elimination1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Unchained Belt</color> has had its eye on %STATION_NAME% for a long time. The pirates would like to make it their base in this part of the Solar System. The station is now in the hands of %VICTIM_NAME%. If they manage to capture it, the corporatists will not even notice that %STATION_NAME% is now in the hands of the pirate crew.<br><br>Only the pirates found out that the station is home to a <color=#FFFEC1>quasimorph of the Duke class</color> and began searching for a contractor to eliminate this monster. This is where we come into play.						
mission.Pirates_Shedu_Elimination1.briefing	We observe unimaginable leaps of quasimorphosis. We'll drop you off wherever we can. Your task: <color=#FFFEC1>kill the Duke</color>. Don’t try to be a hero and clear out the entire %STATION_NAME%, we have a clear task with clear conditions.						
mission.Pirates_Shedu_Elimination1.objective0	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Pirates_Shedu_Elimination1.after	The pirates asked us for quite a long time about the structure of %STATION_NAME% and what we discovered there. Obviously, they can decide to capture it at any moment. The reward is already in the Magnum's cargo hold.						
mission.Pirates_Shedu_Espionage1.desc	<color=#FFFEC1>Task:</color> Pick up the <color=#FFFEC1>igvalite</color> at %STATION_NAME% and evacuate with it.						
mission.Pirates_Shedu_Espionage1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Unchained Belt</color> is planning operations related to %STATION_NAME%. Despite the suppression of information by the <color=#FFFEC1>Hexarchy</color>, it is known that this place is in the hands of %VICTIM_NAME%. The pirates discovered something interesting there.<br><br>They caught the signature of an <color=#FFFEC1>igvalite</color> - a quasimorphic artifact capable of accumulating gavvakh. It appears that the quasimorphs use this location to store energy. There is work for us. The pirate liaison offers to infiltrate %STATION_NAME% and <color=#FFFEC1>pick up the igvalite</color>.						
mission.Pirates_Shedu_Espionage1.briefing	The signature of the <color=#FFFEC1>igvalite</color> has been found, its location is marked on the map. We'll try to drop you off as close to the location as possible, but we can't promise anything: the shuttle pilot is already reporting strange visions.<br><br>Move through %STATION_NAME% carefully, save your strength. %VICTIM_NAME% will certainly defend the <color=#FFFEC1>igvalite</color> with special zeal.						
mission.Pirates_Shedu_Espionage1.objective0	<color=#FFFEC1>Task:</color> Pick up the <color=#FFFEC1>igvalite</color> at %STATION_NAME% and evacuate with it.						
mission.Pirates_Shedu_Espionage1.after	The meeting with the pirate crew took place. They almost tried to bite this quasimorphic rock. Valuable cargo from them is on Magnum.						
mission.Pirates_Shedu_Robbery1.desc	<color=#FFFEC1>Task:</color> Steal all valuable items from %STATION_NAME%.						
mission.Pirates_Shedu_Robbery1.details	<color=#FFFEC1>Boss</color>, the pirate crew has contacted us. They offer to take part in a robbery, but we are not talking about a raid on a corporate warehouse. They want valuables from %VICTIM_NAME% at %STATION_NAME%. If we agree, we will need to <color=#FFFEC1>find the specified objects</color> on each floor of the station and evacuate with them. After this, %VICTIM_NAME% will remember us for a long time. They always remember.						
mission.Pirates_Shedu_Robbery1.briefing	Walk through each floor of %STATION_NAME%, find the marked items and escape with the loot.						
mission.Pirates_Shedu_Robbery1.objective0	<color=#FFFEC1>Task:</color> On each floor of %STATION_NAME%, pick up valuable items, then evacuate.						
mission.Pirates_Shedu_Robbery1.after	The pirates realized that even quasimorphs could be defeated. They gave us some of their toys. Do you feel like we were being used in the dark, <color=#FFFEC1>Boss</color>?						
mission.Pirates_Shedu_Defense1.desc	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Pirates_Shedu_Defense1.details	<color=#FFFEC1>Details:</color> Due to the public enemy status, the pirates cannot directly report that %STATION_NAME% is about to be attacked by %VICTIM_NAME%.<br><br>Our analysts discovered this information with the help of the quasimorphs themselves. They have learned to bypass the <color=#FFFEC1>SBN</color> filters and constantly transmit messages to the network. The <color=#FFFEC1>Hexarchy</color> immediately declares them fakes.<br><br>If we want to support the beleaguered pirate crew, then we should hurry.						
mission.Pirates_Shedu_Defense1.briefing	As soon as we get you there, the attack will begin. Sensors show that quasimorphs have already appeared in certain places of %STATION_NAME%. <color=#FFFEC1>Hold out</color> for a while, and their onslaught will weaken. It seems that they are not omnipotent either.						
mission.Pirates_Shedu_Defense1.objective0	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Pirates_Shedu_Defense1.after	The reward from the pirates is already on Magnum. %STATION_NAME% will serve the <color=#FFFEC1>Unchained Belt</color> for some time to come. But people, whatever they may be, are still better than quasimorphs. Right?						
mission.Pirates_Shedu_Escort1.desc	<color=#FFFEC1>Task:</color> Escort the pirate captain to the safe location.						
mission.Pirates_Shedu_Escort1.details	<color=#FFFEC1>Details:</color> At %STATION_NAME% one of the headquarters of the <color=#FFFEC1>Unchained Belt</color> is located. The pirate captain in command here has carried out several successful operations against the quasimorphs. And now %VICTIM_NAME% is going to attack the station. If we take on this urgent contract, we will need to <color=#FFFEC1>escort</color> the captain to the safe location.						
mission.Pirates_Shedu_Escort1.briefing	<color=#FFFEC1>Escort</color> the captain to the specified location at %STATION_NAME%. Move from level to level until you are safe. Exploring %STATION_NAME% is not included in the task list, but if you see something interesting, act according to the circumstances.						
mission.Pirates_Shedu_Escort1.objective0	Another day, another mission against the quasimorphs. <color=#FFFEC1>Your task</color>: escort the pirate captain to safety.						
mission.Pirates_Shedu_Escort1.after	The pirates sent us a valuable package as a reward for saving their man. The cargo is already on board Magnum.						
mission.Pirates_Shedu_Control1.desc	<color=#FFFEC1>Task:</color> Protect the <color=#FFFEC1>Unchained Belt server</color>.						
mission.Pirates_Shedu_Control1.details	<color=#FFFEC1>Details:</color> Pirates have seriously gained a foothold at %STATION_NAME%. From here they carried out several successful operations against %VICTIM_NAME%. However, the monsters gathered for a counterattack. Their target will be the station's server equipment. If we want to receive a reward from the pirates, we need to <color=#FFFEC1>prevent the quasimorphs from destroying the computer</color>.						
mission.Pirates_Shedu_Control1.briefing	The server location is marked on your map. The quasimorphs are already at %STATION_NAME%. Eliminate them all. The <color=#FFFEC1>equipment must survive</color>.						
mission.Pirates_Shedu_Control1.objective0	<color=#FFFEC1>Task:</color> Protect the <color=#FFFEC1>Unchained Belt server</color>.						
mission.Pirates_Shedu_Control1.after	The pirates realized that %VICTIM_NAME% was not all-powerful. Sooner or later, pirates will begin their raids on quasimorphic objects.						
mission.Pirates_Shedu_Counterattack1.desc	<color=#FFFEC1>Task:</color> Eliminate the group of quasimorphs from %VICTIM_NAME% before the <color=#FFFEC1>ritual</color> is completed.						
mission.Pirates_Shedu_Counterattack1.details	<color=#FFFEC1>Details:</color> Lately, surges in quasimorphosis have been felt at %STATION_NAME%. The captain of the pirate crew told us about this. He asks for help. Apparently, this bramfatura activity attracted %VICTIM_NAME%. They have captured part of the station and are preparing to hold some kind of <color=#FFFEC1>ritual</color> there. You need to get to them and eliminate them before they complete the ritual. The pirates promise a worthy reward for your help.						
mission.Pirates_Shedu_Counterattack1.briefing	It won't be possible to drop you off any closer. A real war has been going on at %STATION_NAME% for several days. We'll have to hurry. <color=#FFFEC1>Stop the quasimorphs before the ritual ends</color>.						
mission.Pirates_Shedu_Counterattack1.objective0	<color=#FFFEC1>Task:</color> Eliminate the group of quasimorphs from %VICTIM_NAME% before the <color=#FFFEC1>ritual</color> is completed.						
mission.Pirates_Shedu_Counterattack1.after	The pirates have already transferred the reward to Magnum. I like these guys: for them both quasimorphs and corporations are a source of loot.						
mission.Shedu_Corp_RaiderCapture1.desc	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Shedu_Corp_RaiderCapture1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Shedu's Thousand</color> appeared here to return the Solar System to <color=#FFFEC1>Gagtungr</color>. It is necessary to ensure that people give up attempts at resistance by the time the Overlord awakens.<br><br>Now the warriors of <color=#FFFEC1>Urparp</color> are looking for anyone who will capture %STATION_NAME% for them in order to turn this place into another bastion of the future Golden Empire.<br><br>%VICTIM_NAME% holds on to this metal piece of matter as if it were the greatest of treasures. Let's crush them, and <color=#FFFEC1>Gagtungr</color> will turn his attention to us.						
mission.Shedu_Corp_RaiderCapture1.briefing	Even if analysts of %VICTIM_NAME% are expecting an attack from the <color=#FFFEC1>Shedu's Thousand</color>, the appearance of a trained operative <color=#FFFEC1>PMC</color> here will be a surprise to them. Act according to the situation, but remember that great causes require great cruelty.						
mission.Shedu_Corp_RaiderCapture1.objective0	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Shedu_Corp_RaiderCapture1.after	The <color=#FFFEC1>Shedu's Thousand</color> are satisfied with our work. %STATION_NAME% will soon be turned into another fortress of the revived Golden Empire.<br><br>A gift from the army of <color=#FFFEC1>Gagtungr</color> appeared in Magnum's cargo hold. We should try this artifact in action.						
mission.Shedu_Corp_Elimination1.desc	<color=#FFFEC1>Task:</color> Find and eliminate the security officer of %VICTIM_NAME%.						
mission.Shedu_Corp_Elimination1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Shedu's Thousand</color> joined the fight for the Solar System. The <color=#FFFEC1>RealWare</color> soldiers who swore allegiance to <color=#FFFEC1>Urparp</color> gave him sufficient strength.<br><br>The <color=#FFFEC1>Hexarchy</color> is trying to hide quasimorphosis from people. This only plays into our hands. Gagtungr's army can slowly advance through the System.<br><br>Now the attention of the soldiers of the Golden Empire is focused on %STATION_NAME%. Operatives of the <color=#FFFEC1>Shedu's Thousand</color> say that there is a factor there that prevents the capture of this place. They talk about <color=#FFFEC1>Security Officer</color> of %VICTIM_NAME%, who carried out several successful operations against quasimorphs.<br><br><color=#FFFEC1>Urparp</color> will be extremely pleased if we will eliminate the threat.						
mission.Shedu_Corp_Elimination1.briefing	The shuttle will land wherever it can. %STATION_NAME% security team is using countermeasures, so we have to maneuver. Personnel occupy positions according to the combat schedule. Carry out a massacre, but eliminate the <color=#FFFEC1>Security Service employee</color>. Let's prove to the <color=#FFFEC1>Shedu's Thousand</color> that we are worthy to serve.						
mission.Shedu_Corp_Elimination1.objective0	<color=#FFFEC1>Task:</color> Eliminate the security officer of %VICTIM_NAME%. their location is marked on your map.						
mission.Shedu_Corp_Elimination1.after	The <color=#FFFEC1>Shedu's Thousand</color> is satisfied with our work. %VICTIM_NAME% is in turmoil, and additional forces are being deployed to %STATION_NAME%. Maybe it's time to hit it somewhere else? The faithful servants of <color=#FFFEC1>Gagtungr</color> gave us a worthy reward. The artifact is already on Magnum.						
mission.Shedu_Corp_Sabotage1.desc	<color=#FFFEC1>Task:</color> Destroy the communications equipment of %VICTIM_NAME%.						
mission.Shedu_Corp_Sabotage1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Shedu's Thousand</color> want to prepare the Solar System for the awakening of <color=#FFFEC1>Gagtungr</color>, their master. You can join the future Golden Empire now or lose.<br><br>One of the operatives of the <color=#FFFEC1>Shedu's Thousand</color> sent us a message about interest in %STATION_NAME%. The powerful <color=#FFFEC1>transmitter</color> of %VICTIM_NAME% is located in this location.<br><br>If we get to the communication device and destroy it, <color=#FFFEC1>Gagtungr</color> will turn on us attention when he wakes up.						
mission.Shedu_Corp_Sabotage1.briefing	We'll try to throw you closer to the <color=#FFFEC1>transmitter</color>, but you'll have to walk part of the way on your own. It won't be easy: according to sensors, the security of %VICTIM_NAME% is ready for an attack. The good news is that the communication center is clearly visible, and I marked it on your map. Show them what war is, remind them who paved the way for corporations to freedom.						
mission.Shedu_Corp_Sabotage1.objective0	You need to <color=#FFFEC1>find and destroy the transmitter</color>. It is a satellite dish aimed into space. There is a mark on your map.						
mission.Shedu_Corp_Sabotage1.after	%STATION_NAME% is now completely blinded and stunned. We have created great difficulties for %VICTIM_NAME%. The <color=#FFFEC1>Shedu's Thousand</color> is satisfied with our work. They plan to take over this station in the near future. The reward is already on Magnum.						
mission.Shedu_Corp_Ritual1.desc	<color=#FFFEC1>Task:</color> Get to the ritual site and protect it.						
